Date,Open,High,Low,Close,Volume,AveragePrice,TrueRange,PriceAction,HighestHigh,LowestLow,SMA,EMA,EMA26,UpMove,DownMove,PlusDM,MinusDI,EMADM,ATR,PercK,PercD
26-05-2005,130.48,131.88,129.15,129.6,27093200,130.515,2.73,-1.355,132.72,112.36,119.95,121.2957003,115.8473799,1.39,-3.83,1.39,0,,2.81296876,2.327055752,1.646010449
27-05-2005,130.23,133.02,129.62,133,24368200,131.32,3.4,3.065,132.72,112.36,121.3778571,122.8562736,117.1179444,1.14,-0.47,1.14,0,,2.854899563,-0.215957734,1.306899943
31-05-2005,134.72,139.2,134.68,138.64,44473600,136.94,4.52,3.66,133.02,113.66,123.145,124.9607705,118.7121707,6.18,-5.06,6.18,0,,2.973835308,-4.344465059,-0.74445568
01-06-2005,141.6,146.44,141.01,144,70383400,143.725,5.43,1.475,139.2,113.66,125.1707143,127.4993344,120.5853432,7.24,-6.33,7.24,0,,3.149275644,-3.485206027,-2.681876273
02-06-2005,144.36,144.89,142.3,143.95,35948200,143.595,2.59,0.15,146.44,113.66,127.2842857,129.6927565,122.3160586,-1.55,-1.29,0,0,,3.109327383,1.702098571,-2.042524171
03-06-2005,143.4,144.65,138.71,140.13,37564600,141.68,5.94,-3.185,146.44,114.28,129.1064286,131.084389,123.6356098,-0.24,3.59,0,3.59,,3.311518284,4.217209691,0.811367412
06-06-2005,141.2,146.88,140.92,145.47,45051800,143.9,5.96,3.705,146.44,115.1,131.2457143,133.0024704,125.252972,2.23,-2.21,2.23,0,,3.50069555,0.679581042,2.199629768
07-06-2005,148.55,149.79,145.15,146.56,48646000,147.47,4.64,-1.905,146.88,116.76,133.3885714,134.810141,126.8312704,2.91,-4.23,2.91,0,,3.582074439,0.215075444,1.703955392
08-06-2005,146.43,146.6,139,139.78,51401800,142.8,7.6,-6.345,149.79,119.14,134.8314286,135.4727889,127.7904355,-3.19,6.15,0,6.15,,3.869069122,6.411118583,2.435258357
09-06-2005,142.36,144.25,140.28,143.16,32882200,142.265,3.97,1.295,149.79,119.82,136.515,136.4977504,128.9289218,-2.35,-1.28,0,0,,3.876278471,4.464796795,3.696996941
10-06-2005,143.5,143.64,140.01,141.25,25393200,141.825,3.63,-1.7,149.79,121.36,137.9757143,137.1313837,129.8415943,-0.61,0.27,0,0.27,,3.858687151,5.637335798,5.504417059
13-06-2005,139.91,142.1,138.26,141.38,25606400,140.18,3.84,1.935,149.79,125.32,138.9514286,137.6978658,130.696291,-1.54,1.75,0,1.75,,3.857352355,5.68800514,5.263379244
14-06-2005,139.29,140.62,138.88,139.18,20183800,139.75,1.74,-0.625,149.79,125.32,139.75,137.8954837,131.3247139,-1.48,-0.62,0,0,,3.706112901,7.053817771,6.126386236
15-06-2005,137.5,138.65,133.72,137.4,41766200,136.185,4.93,1.165,149.79,129.15,140.25,137.8294192,131.7747351,-1.97,5.16,0,5.16,,3.793533408,8.336417157,7.026080023
16-06-2005,137.13,139.15,136.54,138.72,24924800,137.845,2.61,1.67,149.79,129.62,140.9014286,137.9481633,132.2891991,0.5,-2.82,0.5,0,,3.708995307,7.473669997,7.621301642
17-06-2005,139.5,140.15,137.95,140.15,20868800,139.05,2.2,1.425,149.79,133.72,141.4121429,138.2417416,132.8714807,1,-1.41,1,0,,3.601209928,6.4974893,7.435858818
20-06-2005,138.04,143.84,135.86,143.35,42049400,139.85,7.98,6.155,149.79,133.72,141.7485714,138.9228427,133.6476673,3.69,2.09,3.69,0,,3.913980648,4.483586869,6.151582056
21-06-2005,144.04,145.15,142.49,143.92,30264600,143.82,2.66,0.04,149.79,133.72,141.7428571,139.5891303,134.4085808,1.31,-6.63,1.31,0,,3.824410601,3.919866444,4.966980871
22-06-2005,144.84,146.16,144.34,144.65,20948000,145.25,1.82,-0.695,149.79,133.72,141.7928571,140.2639129,135.1672045,1.01,-1.85,1.01,0,,3.681238416,3.41562282,3.939692044
23-06-2005,144,147.4,143.25,144.85,28112800,145.325,4.15,-0.05,149.79,133.72,142.13,140.8753912,135.8844486,1.24,1.09,1.24,0,,3.714721386,3.296849973,3.544113079
24-06-2005,145.45,149,144.79,148.62,35542400,146.895,4.21,3.31,149.79,133.72,142.355,141.9080057,136.8278228,1.6,-1.54,1.6,0,,3.75009843,0.798743856,2.503738883
27-06-2005,149.45,152.24,146.93,152.05,35605800,149.585,5.31,3.765,149,133.72,142.7471429,143.2602716,137.9553914,3.24,-2.14,3.24,0,,3.86151997,-2.100044755,0.665183025
28-06-2005,153.14,154.62,151,151,38073000,152.81,3.62,-2.88,152.24,133.72,143.5485714,144.2922354,138.9216587,2.38,-4.07,2.38,0,,3.844268544,0.799381124,-0.167306592
29-06-2005,151.25,152.19,146.07,146.36,36597400,149.13,6.12,-5.215,154.62,133.72,143.7771429,144.5679374,139.472647,-2.43,4.93,0,4.93,,4.006820791,5.167829324,1.289055231
30-06-2005,147.17,149.46,145.52,147.07,30188800,147.49,3.94,-0.47,154.62,133.72,144.1928571,144.9015457,140.0354139,-2.73,0.55,0,0.55,,4.002047877,4.868141079,3.611783843
01-07-2005,147.52,148.12,144.61,145.62,18455200,146.365,3.51,-1.695,154.62,133.72,144.4957143,144.9973396,140.4490869,-1.34,0.91,0,0.91,,3.9669016,5.757604836,5.26452508
05-07-2005,146.05,147.99,145.12,147.85,14988000,146.555,2.87,2.195,154.62,133.72,145.115,145.3776943,140.9973027,-0.13,-0.51,0,0,,3.888551486,4.441528621,5.022424845
06-07-2005,148.65,148.8,145.69,145.76,16000600,147.245,3.11,-2.93,154.62,135.86,145.7121429,145.4286684,141.3500951,0.81,-0.57,0.81,0,,3.832940666,5.623611552,5.274248336
07-07-2005,144.7,147.9,144.26,147.77,21344200,146.08,3.64,3.225,154.62,135.86,146.3585714,145.740846,141.8256436,-0.9,1.43,0,1.43,,3.819159189,4.524587998,4.863242724
08-07-2005,148.12,148.75,147.02,148.12,14915200,147.885,1.73,0.235,154.62,135.86,146.9278571,146.0580665,142.2918922,0.85,-2.76,0.85,0,,3.669933533,4.210253587,4.786151046
11-07-2005,148.2,148.3,145.51,146.68,16780600,146.905,2.79,-0.985,154.62,142.49,147.1657143,146.140991,142.6169373,-0.45,1.51,0,1.51,,3.607081138,5.102663796,4.612501794
12-07-2005,146.7,147.2,145.46,145.89,11729800,146.33,1.74,-0.845,154.62,143.25,147.3064286,146.1075255,142.8593863,-1.1,0.05,0,0.05,,3.473718199,5.615411829,4.976109737
13-07-2005,146.26,149.62,146.05,149.43,22875800,147.835,3.57,3.18,154.62,143.25,147.6478571,146.5505221,143.3460985,2.42,-0.59,2.42,0,,3.480595471,3.427099842,4.715058489
14-07-2005,152.67,153.38,150.04,150.44,21335400,151.71,3.34,-2.385,154.62,144.26,148.0471429,147.0691192,143.8715727,3.76,-3.99,3.76,0,,3.470552937,2.662335594,3.901615755
15-07-2005,150.62,151.7,149.89,150.6,16876800,150.795,1.81,-0.205,154.62,144.26,148.1885714,147.5399033,144.3699747,-1.68,0.15,0,0.15,,3.351942013,2.596479897,2.895305111
18-07-2005,150,150.95,148.88,149.77,12415600,149.915,2.07,-0.26,154.62,144.26,148.0257143,147.8372495,144.7699766,-0.75,1.01,0,1.01,,3.260374727,3.131456612,2.796757368
19-07-2005,151.05,155.18,150.9,154.95,25242800,153.04,4.28,3.86,153.38,144.26,148.3078571,148.7856162,145.5240524,4.23,-2.02,4.23,0,,3.333205103,-1.050026752,1.559303252
20-07-2005,152.78,156.3,150.9,156,28620800,153.6,5.4,4.01,155.18,144.26,148.9964286,149.7475341,146.3000485,1.12,0,1.12,0,,3.48083331,-0.542435668,0.512998064
